City,MCC,MNC,LAC,CID,BSC,BSIC,ARFCN,BAND,F_DL (MHz),RXLEV (dBm),RXQUAL,SNR (dB),UL Speed (kbps),DL Speed (kbps),Latitude,Longitude,Speed (m/s),Height (m),Connection Type
Ahmedabad,405,872,9114,57990,20,33,52,1800 MHz,940.890238253568,-79,2,19.39,386,937,36.706703,94.65877,19.22425279586460,17.60425671058610,Data
Ahmedabad,405,872,6772,19233,37,25,69,900 MHz,955.5412345446640,-69,1,14.45,178,1596,19.805039,95.757783,0.5417046394815860,447.9747407765160,Data
Ahmedabad,405,868,9544,16239,21,61,106,1800 MHz,937.4899197146430,-108,1,23.52,371,1789,20.365976,69.953099,12.157112858451400,279.38769222780900,Data
Ahmedabad,405,868,4064,77142,41,54,71,900 MHz,937.9875765252830,-88,7,10.11,72,1486,23.820402,86.041191,14.570012635171500,181.8325999619970,Data
Ahmedabad,405,868,4736,44310,40,27,110,900 MHz,953.8345809562530,-99,7,25.99,430,526,20.655605,81.291842,15.299765165231400,455.5128282209850,WiFi
Ahmedabad,405,868,6367,22230,40,25,6,1800 MHz,949.591155963068,-78,4,11.84,285,1094,16.397354,88.570988,11.35484136909580,433.1023101174900,WiFi
Ahmedabad,405,864,8443,68266,1,53,22,900 MHz,939.8070995516360,-110,6,7.52,199,370,34.195824,79.549563,8.652415996892990,337.6400896455690,WiFi
Ahmedabad,405,868,7624,64240,14,20,118,900 MHz,936.3806619919860,-68,6,28.75,399,565,16.310494,73.776926,10.060818733794800,290.6940372309350,WiFi
Ahmedabad,405,874,7847,63893,48,7,64,900 MHz,935.3234678952010,-109,7,16.99,178,231,24.665913,86.783869,14.873389234573500,202.0014946732990,Data
Ahmedabad,405,872,8014,94800,16,33,55,900 MHz,952.170370671222,-77,7,28.62,372,487,34.13001,88.690362,10.566085427399700,160.8716634177590,Data
Ahmedabad,405,874,1971,46517,3,19,114,900 MHz,958.0501839370360,-106,6,29.78,139,1516,28.931823,79.339587,16.683889831555000,2.6531400851617100,Data
Ahmedabad,405,868,2910,46834,48,60,44,1800 MHz,959.1518577734570,-64,4,11.46,380,1633,34.266983,86.652807,15.056107311862200,156.23366166139000,Data
Ahmedabad,405,868,4041,93657,20,11,101,1800 MHz,935.248707317389,-105,4,19.21,50,255,18.360533,91.32932,14.284315730109000,345.52723264750100,Data
Ahmedabad,405,874,6500,12632,14,1,27,900 MHz,954.116484492062,-79,6,9.93,419,1519,29.335788,70.682119,19.400087364213600,427.183812725853,WiFi
Ahmedabad,405,864,7271,87914,48,28,75,900 MHz,954.579411779162,-68,0,8.5,245,1343,16.094175,88.137469,6.720590908449190,89.00243217374990,Data
Ahmedabad,405,864,6969,68623,47,5,82,1800 MHz,946.7653871052010,-99,3,6.31,118,1437,28.75653,79.70066,2.8152585849017800,50.62077462786660,WiFi
Ahmedabad,405,864,2698,48787,45,28,69,1800 MHz,952.0580463833380,-87,0,8.49,182,426,8.171142,77.151997,0.8911316514951700,312.92840273951900,WiFi
Ahmedabad,405,868,6891,77206,3,33,70,1800 MHz,955.046697961899,-60,4,19.95,75,624,17.899502,84.337776,14.918652871492800,495.7491772367860,WiFi
Ahmedabad,405,874,6617,85694,36,50,116,1800 MHz,942.8865350149450,-98,1,10.05,478,1753,21.474283,90.561566,17.79090918687420,298.08260287997800,WiFi
Ahmedabad,405,872,5997,87459,9,53,8,900 MHz,956.1735472543790,-97,5,14.41,145,514,12.255832,84.327812,1.9073128374019500,75.54710807573780,Data
Ahmedabad,405,872,1617,62806,47,26,63,900 MHz,952.7059954599810,-84,5,26.99,159,1340,28.726342,72.413025,16.220586332031500,6.6466420947357,Data
Ahmedabad,405,872,2848,22374,19,50,91,900 MHz,943.8914879653960,-81,6,9.57,268,478,26.576002,79.591288,19.344720847935700,22.55186382096640,Data
Ahmedabad,405,868,7715,79178,1,27,95,900 MHz,950.8851416831040,-86,0,6.18,159,1264,19.356875,84.347238,6.790805515014630,499.6261708830980,WiFi
Ahmedabad,405,868,9929,85746,43,12,55,1800 MHz,948.8117328836880,-86,4,9.43,196,836,36.209017,82.492611,2.716088189016190,350.2667048768250,Data
Ahmedabad,405,872,8861,92711,41,11,95,1800 MHz,952.4921561554320,-85,7,18.1,65,1190,23.42724,86.107453,18.687510288437200,311.75222929243000,WiFi
Ahmedabad,405,874,6625,39534,8,15,15,900 MHz,953.8966109308200,-74,1,20.78,261,1750,17.737736,92.357363,13.82058349435250,264.32210735003900,WiFi
Ahmedabad,405,872,9819,55339,24,32,93,900 MHz,954.0449357131280,-81,4,24.99,494,1617,30.540913,82.203981,4.076805232023310,273.13142330894400,WiFi
Ahmedabad,405,864,2934,36691,49,53,59,1800 MHz,936.1573758114130,-69,5,26.05,139,1409,21.07758,93.240393,0.1021453259596110,70.04827457482890,WiFi
Ahmedabad,405,872,4254,38005,17,52,63,1800 MHz,950.5701179528110,-87,1,25.34,379,991,19.242493,78.792396,16.483045025222500,213.03802117774400,Data
Ahmedabad,405,872,9047,93050,48,33,49,1800 MHz,954.3601581811710,-74,0,21.25,141,929,31.398754,73.164955,13.969744332463000,392.5149034846580,WiFi
Ahmedabad,405,872,5938,82951,40,42,102,1800 MHz,958.5032569248690,-80,1,22.66,453,421,26.761064,88.11906,14.067649656265000,419.5985358193470,Data
Ahmedabad,405,874,3290,72301,22,31,87,900 MHz,943.2579171161390,-76,3,6.83,110,1620,21.391326,80.513943,13.020022225238500,138.12982306322400,WiFi
Ahmedabad,405,864,7239,39500,40,59,104,900 MHz,944.6266171482610,-80,1,29.44,435,1676,21.01905,72.271301,7.972582976095740,140.51370383622100,Data
Ahmedabad,405,864,8520,54997,32,8,117,900 MHz,959.7724127235830,-71,4,28.51,135,255,23.003973,77.10787,12.103964255272500,467.4373174389850,WiFi
Ahmedabad,405,872,2292,17764,31,60,69,1800 MHz,937.7620911626170,-94,2,10.9,231,959,26.064172,79.755799,11.79687180946220,238.36602816758400,WiFi
Ahmedabad,405,872,7795,31203,27,38,96,900 MHz,940.7123480103500,-61,3,22.68,182,211,20.904762,77.024428,0.395444995054377,367.31186522595900,WiFi
Ahmedabad,405,874,9064,12059,4,37,117,1800 MHz,955.6189933083040,-90,3,13.09,56,893,24.881718,87.585635,7.240776712624930,121.66250832555700,WiFi
Ahmedabad,405,872,9781,28932,36,43,67,1800 MHz,958.9492242088940,-62,4,23.89,181,680,9.376119,77.612096,4.3519829100725200,198.10627780188300,WiFi
Ahmedabad,405,864,9134,21742,48,32,51,900 MHz,945.343204730942,-89,6,15.03,113,966,36.138466,86.664679,4.632233331351930,316.813567537192,WiFi
Ahmedabad,405,872,2194,86419,6,51,93,1800 MHz,939.4312898472210,-75,2,15.65,243,1820,27.713767,74.555676,16.56110865638910,23.246712211937000,Data
Ahmedabad,405,864,8857,17220,5,32,119,1800 MHz,958.2316572281050,-101,7,28.13,378,579,33.012935,92.157066,10.432560602128700,171.38722199367600,Data
Ahmedabad,405,874,4716,49718,16,38,114,1800 MHz,959.8932423958950,-78,0,19.71,223,1091,19.126496,76.700177,14.23850796114460,109.40179726023500,Data
Ahmedabad,405,864,3978,78424,37,50,124,1800 MHz,945.3415948469930,-73,0,16.48,317,1952,8.644993,91.636381,4.384592054770390,20.249360654636400,WiFi
Ahmedabad,405,872,3593,52163,22,56,99,1800 MHz,935.4963205174550,-89,5,7.44,368,341,29.015527,86.403842,7.610394082490070,313.1768479344890,Data
Ahmedabad,405,868,4212,13696,3,35,101,1800 MHz,946.7500190430490,-110,3,28.24,260,1688,26.602974,79.223576,17.926310223706000,53.10906917860610,Data
Ahmedabad,405,872,7139,17264,4,44,10,900 MHz,952.3270695427570,-71,3,27.62,348,1926,26.497023,84.083521,0.4847781479205150,32.66270103964610,WiFi
Ahmedabad,405,874,6777,55421,32,6,61,900 MHz,949.7946537647000,-100,1,26.23,65,1282,14.753721,79.0216,19.22109147556210,386.0065648227770,Data
Ahmedabad,405,868,6268,69692,34,0,57,1800 MHz,940.5154259655920,-72,6,18.01,92,296,23.390052,86.712864,0.3586257740888540,414.3969060840590,Data
Ahmedabad,405,864,1444,39486,31,45,102,1800 MHz,948.0948325418750,-80,3,11.97,464,424,14.589073,89.781687,5.032525991118100,372.98066537813000,Data
Ahmedabad,405,872,7923,76037,26,2,14,900 MHz,951.9993671353070,-95,6,16.88,321,590,36.943906,73.284888,10.425807453855600,81.52068303634090,Data
Ahmedabad,405,868,9014,32878,23,30,113,900 MHz,943.4523397849820,-91,7,11.21,193,366,21.068159,68.145664,6.242949446107990,331.5964548995980,WiFi
Ahmedabad,405,874,8903,29090,31,1,7,1800 MHz,953.4453106757070,-84,1,13.07,230,1614,11.670778,84.168813,5.7703317265871500,140.527716499715,Data
Ahmedabad,405,860,3058,73690,46,27,81,2100 MHz,944.8394956572030,-54,0,14.780281098040200,991,1432,23.093874946189500,72.588482254025,13.728936312688900,34.80445971438900,Data
Ahmedabad,405,861,1137,12583,27,59,12,1800 MHz,956.478966170238,-91,3,18.11163369558220,476,1132,23.090170469432900,72.54625357346060,0.6986638219573900,186.11606416095600,Voice
Ahmedabad,405,860,6680,52764,15,6,61,1800 MHz,949.1405559676670,-54,4,11.220140680136700,535,1662,22.93510879304330,72.62504562378630,7.749926725933390,259.68508159604700,Data
Ahmedabad,405,865,8996,24332,18,56,127,900 MHz,959.2934152281580,-74,5,12.586527513430600,635,1569,23.074078506507400,72.50015178927400,4.418250506389570,154.70200154862200,Voice
Ahmedabad,405,863,8496,46073,12,31,37,1800 MHz,937.488176955714,-87,3,7.32945533606653,391,522,22.99685221666300,72.47923414585110,17.48137576162170,175.52837373540500,Data
Ahmedabad,405,862,6612,21483,20,42,68,1800 MHz,959.2408013761330,-55,3,9.095284439799890,136,1502,22.966761504589100,72.48017638288020,12.472693350998700,109.6217628393160,Data
Ahmedabad,405,865,2452,56579,48,10,100,900 MHz,954.1688621012800,-66,6,15.330725423399500,178,1371,22.99765257925080,72.56832327103560,13.511758938645800,8.116914548962940,Voice
Ahmedabad,405,870,2978,52503,38,54,47,2100 MHz,948.9457110497200,-67,0,17.81047463648740,685,1181,23.109798568225200,72.52105593236530,8.838230200676460,49.49621535156560,WiFi
Ahmedabad,405,868,4585,27894,44,39,20,900 MHz,936.7084640252280,-51,3,18.843728016845500,722,254,23.053438906888900,72.53474063465590,11.93149930780060,151.9309363699810,Voice
